Common name,Scientific name,Kingdom
Nuttall’s waterweed,Anacharis nuttallii,Plantae
Chilean rhubarb,Gunnera tinctoria,Plantae
Giant hogweed,Heracleum mantegazzianum,Plantae
Floating pennywort,Hydrocotyle ranunculoides,Plantae
Himalayan balsam,Impatiens glandulifera,Plantae
Curly waterweed,Lagarosiphon major,Plantae
American skunk cabbage,Lysichiton americanus,Plantae
Parrot’s feather,Myriophyllum aquaticum,Plantae
Egyptian goose,Alopochen aegyptiacus,Animalia
Chinese mitten crab,Eriocheir sinensis,Animalia
Muntjac deer,Muntiacus reevesi,Animalia
Signal crayfish,Pacifastacus leniusculus,Animalia
Grey squirrel,Sciurus carolinensis,Animalia