,GUID,Title,Map
0,1559722217,PEASEY BECK,"(54.26177,-2.7023099999999998)"
1,1559719420,REA BROOK,"(52.69384,-2.7523400000000002)"
2,1549816945,,"(51.47987,-3.3334)"
3,1559520159,ROCHE ABBEY MTR SITE,"(53.40175,-1.1795)"
4,1559537864,CULM,"(50.891999999999996,-3.3513699999999997)"
5,1887266437,Llandrillo,"(52.93581,-3.4449400000000003)"
6,1888353019,,"(51.839890000000004,-3.1228700000000003)"
7,1559587046,TETNEY,"(53.49489000000001,-0.00489)"
8,1561799052,,"(52.91165,-1.57021)"
9,1518170984,"Bonnybridge, Forth+Clyde Canal","(56.003,-3.8857800000000013)"
10,1513165649,"River Esk, Musselburgh","(55.96359,-3.04279)"
11,1946674046,,"(51.654269,-1.878193)"
12,1519375372,,"(51.89277,-4.68995)"
13,1559530850,BEACHES MILL MACROPHYTE SURVEY SITE,"(51.737559999999995,0.44688)"
14,1561799718,,"(52.94798,-1.68891)"
15,1516239521,VC99 Dunbartonshire,"(56.11558,-4.816269999999999)"
16,1537054349,,"(53.579930000000004,-2.7189)"
17,1561801620,,"(52.78609,-1.66041)"
18,1562442992,"Hengistbury Head,The Nursery","(50.71703,-1.75702)"
19,1208991202,Styford Hall,"(54.957138,-1.9781080000000002)"
20,1946663260,,"(50.683246000000004,-2.221882)"
21,1946669975,,"(53.70216,-1.78875)"
22,1559570733,SEVERN,"(52.2312,-2.24227)"
23,1537757525,,"(54.1332,-2.6289700000000003)"
24,1537056296,,"(53.81482,-2.4799)"
25,1555503485,,"(57.22732,-2.8546)"
26,1550856716,,"(51.55408,-3.5158699999999996)"
27,1549820198,,"(51.5014,-3.3765300000000003)"
28,1558217052,,"(52.642540000000004,-1.7797599999999998)"
29,1888345464,,"(52.64523000000001,-3.1529700000000003)"
30,1946678547,,"(53.965959999999995,-1.11201)"
31,1537055477,,"(53.765119999999996,-2.63331)"
32,1559588254,LAKE CENTRE POINT,"(53.06061999999999,-1.62916)"
33,1537056761,,"(53.72895,-2.48726)"
34,1559530957,TRIB OF CAM,"(52.02426,0.22926999999999997)"
35,1559527604,SPITZ BRIDGE,"(51.18652,0.47768)"
36,1537125097,,"(53.737919999999995,-2.59273)"
37,1057077689,,"(nan,nan)"
38,2528908369,,"(53.79968,-1.04506)"
39,1885182469,,"(51.54724,-2.85945)"
40,1537052005,,"(54.150659999999995,-2.7211)"
41,1946675871,,"(53.717,-1.7832700000000001)"
42,1946667023,,"(51.51025,-0.66281)"
43,1559679990,DUDDINGTON,"(52.59741999999999,-0.5464600000000001)"
44,1946668005,,"(53.57057,-2.50239)"
45,1537055583,,"(53.73381,-2.5093)"
46,1542139878,Sandown Marsh Meadows H&IWWT - Fld B - river,"(50.663959999999996,-1.1687)"
47,1518852495,,"(51.63507,-4.0966)"
48,1946674730,,"(53.7468,-1.79489)"
49,1549812922,,"(51.65809,-3.64911)"
50,1946661893,,"(52.84184000000001,-1.495839)"
51,1559716350,BOMARSUND,"(55.15094000000001,-1.5723799999999999)"
52,1540682622,River Irfon,"(52.147420000000004,-3.4168300000000005)"
53,1559589063,IMMEDIATELY BELOW ALDERSHOT NORTH TOWN STW,"(51.24819,-0.73554)"
54,1946670132,,"(53.681194,-1.462224)"
55,1559589693,HOLGATE,"(53.96484,-1.11056)"
56,1886432594,The Home,"(52.50879000000001,-2.9223)"
57,1537061799,,"(53.653659999999995,-2.7859700000000003)"
58,1561798933,,"(52.85661999999999,-1.33313)"
59,1887252210,Corwen,"(52.979440000000004,-3.25703)"
60,1555503279,,"(57.24621,-2.7059)"
61,1559659452,D/S HALL PLACE,"(51.44728,0.16219)"
62,1537060899,,"(53.79088,-2.2086799999999998)"
63,1517997224,Borders,"(55.792759999999994,-2.1052299999999997)"
64,1537059594,,"(53.69818000000001,-2.53688)"
65,1559680002,LITTLE THURLOW CHURCH BRIDGE,"(52.13399999999999,0.45393999999999995)"
66,1887259250,"Alyn Valley, Pandy","(53.1836,-3.2048099999999997)"
67,1537482929,,"(53.53761,-2.98224)"
68,1946664157,,"(53.62754,-2.31711)"
69,1517321436,"The Homesteads, Cambusbarron","(56.118140000000004,-3.9646)"
70,1551201251,,"(51.72224,-4.245419999999998)"
71,1561927470,Underbarrow,"(54.34455,-2.82832)"
72,1927602238,,"(52.727419999999995,-3.112)"
73,1559538173,LEW,"(50.66496,-4.15566)"
74,2534219084,NO1803215223,"(56.3223,-3.3268699999999995)"
75,1538401968,,"(53.75604000000001,-2.56265)"
76,1537058720,,"(53.8024,-2.71738)"
77,1885061311,Afon Gronwr; South of Llanboidy,"(51.87213,-4.58775)"
78,1946675864,,"(53.41983000000001,-2.14627)"
79,1559636460,"AT MANOR ROAD, LUTON","(51.87721,-0.40563)"
80,1886077024,Shropshire,"(52.6575,-2.87368)"
81,1946661498,,"(52.405761,-4.073828)"
82,1946663212,,"(51.195495,-2.164441)"
83,1561800306,,"(53.325419999999994,-1.65615)"
84,1946663338,,"(51.712503999999996,-1.786615)"
85,1946678664,,"(51.519148,-2.068825)"
86,1515322275,Barry Links,"(56.5049,-2.7326799999999998)"
87,1946678783,,"(51.648379999999996,-4.99164)"
88,1537053227,,"(53.63394,-2.7046900000000003)"
89,1551556151,,"(53.35995,-2.67762)"
90,1556561705,Upton Warren:Moors Pool,"(52.30153,-2.10334)"
91,1088876902,Ballymoyer Forest. Armagh.,"(54.214369,-6.521555)"
92,1537121017,,"(53.64773,-2.65197)"
93,1537679159,,"(53.882580000000004,-2.3818)"
94,1538468209,,"(53.703269999999996,-2.1984)"
95,1946675923,,"(52.301454,-1.57331)"
96,1946660210,,"(53.38318,-1.36042)"
97,1549822413,,"(51.658409999999996,-3.8555699999999997)"
98,1559548864,PEN-Y-BONT,"(52.60077,-3.8566800000000003)"
99,1946678177,,"(50.703059,-3.087801)"
100,1946675650,,"(53.5557,-2.35758)"
101,1559536396,WYE,"(51.18506,0.92984)"
102,1885753007,,"(51.555859999999996,-3.3716800000000005)"
103,1561803078,,"(53.361869999999996,-2.01649)"
104,1537288499,,"(54.18601999999999,-2.81366)"
105,1885827126,,"(51.73384,-3.5218800000000003)"
106,2534535198,,"(52.02282,-4.79096)"
107,1946664361,,"(53.840741,-1.492538)"
108,1538476385,,"(53.71946,-2.68339)"
109,1516732987,Quadrant NO43SE,"(56.48044,-2.8369299999999997)"
110,1561794277,,"(53.0912,-1.5087)"
111,1555503095,,"(57.2463,-2.68933)"
112,1559681877,"MOREDON BRIDGE, SWINDON","(51.58398,-1.8245900000000002)"
113,1559664776,D/S DEVON U/S NEWARK STW MTR SITE,"(53.086659999999995,-0.80476)"
114,1946672464,,"(51.00839000000001,-2.1308380000000002)"
115,1537569537,,"(53.73878000000001,-2.38049)"
116,1559530053,80M D/S APPLEDORE STW,"(51.0346,0.79337)"
117,1513711685,Carrbridge,"(57.284569999999995,-3.8098400000000003)"
118,1550994076,,"(51.63756,-3.9521900000000003)"
119,1550756876,,"(51.46597,-3.36899)"
120,1946677014,,"(53.359559999999995,-1.34184)"
121,1887253514,"Alyn Valley, Pont-newydd","(53.17709,-3.21749)"
122,1885179570,,"(51.61132,-2.68736)"
123,1887259869,1002 - Ty'n-y-coed,"(53.11923,-4.25623)"
124,1559523068,U/S L.LINSLADE MTR SITE,"(51.92995,-0.66993)"
125,1559527204,LEWES BROOKS SITE 8,"(50.857440000000004,0.004070000000000001)"
126,1559524618,BULSTAKE STREAM,"(51.75541,-1.27631)"
127,1537246817,,"(53.73887,-2.35017)"
128,1559660001,WYE,"(52.08047,-2.9127099999999997)"
129,1518435950,Royal Aberdeen Golf Course,"(57.189780000000006,-2.0843599999999998)"
130,1561803973,,"(52.87589000000001,-1.63)"
131,1887251914,Corwen,"(52.97726,-3.2794199999999996)"
132,1513660282,Philpstoun (South),"(55.971959999999996,-3.5317300000000005)"
133,1559692980,CLOVES BRIDGE,"(53.391369999999995,0.20683)"
134,1946662139,,"(53.521875,-1.361776)"
135,1559643934,OAKHANGER STREAM,"(51.114090000000004,-0.90207)"
136,1542986667,10 DEE (CLWYD) [Manley Hall],"(52.96641999999999,-2.97296)"
137,1559572859,300M D/S PAGHAM STW MTR,"(50.77895,-0.75249)"
138,1088876270,Trillick Tributary at Carran Bridge,"(54.45741500000001,-7.522)"
139,1946668553,,"(52.105526,1.325112)"
140,1559731297,COLTISHALL BRIDGE MACROPHYTE SURVEY SITE (ECN R10) SECT 1,"(52.72971,1.35384)"
141,1946006693,,"(52.1265,-3.3606599999999998)"
142,1888348850,,"(52.817609999999995,-3.02475)"
143,1946664311,,"(53.676742000000004,-2.479177)"
144,1559575463,DUDDINGTON MTR SITE (SECTION 3),"(52.59835,-0.54938)"
145,2529478558,,"(51.486259999999994,-2.5270599999999996)"
146,1537720641,,"(53.59426,-2.5605)"
147,1554482291,USK,"(51.940329999999996,-3.3652)"
148,1671736577,,"(52.327022,-1.7056080000000002)"
149,1517769451,Borders,"(55.90056,-2.1215200000000003)"
150,1537378348,,"(53.75604000000001,-2.56265)"
151,1559540428,D/S MARKET HARBOROUGH STW,"(52.494069999999994,-0.88129)"
152,1559510517,SHALMSFORD STREET,"(51.25541,0.99308)"
153,1559707902,UPSTREAM OF CONFLUENCE WITH UNNAMED TRIBUTARY,"(50.8631,-0.9918100000000001)"
154,1559540081,PYTCHLEY ROAD BRIDGE,"(52.37826,-0.72114)"
155,1946661289,,"(52.954269,-4.065282)"
156,1946672551,,"(53.62868,-2.31956)"
157,1519288095,,"(51.724920000000004,-4.10075)"
158,1559512239,TETNEY LOCK,"(53.49892,0.02244)"
159,1551841649,,"(53.181509999999996,-2.37554)"
160,1088876616,Owenkillew at Monanameal Bridge,"(54.70705400000001,-7.0490080000000015)"
161,1946675708,,"(52.556785999999995,-2.409966)"
162,1537206033,,"(53.73887,-2.35017)"
163,1559551960,LUMLEY PARK BURN,"(54.850559999999994,-1.51015)"
164,1562443558,Ferndown Common,"(50.79817,-1.8999099999999998)"
165,1946679131,,"(53.739230000000006,-1.78338)"
166,2539017370,Hanham,"(51.431020000000004,-2.5142)"
167,1537681430,,"(53.8429,-3.0197700000000003)"
168,2537632449,West Barns,"(55.9982,-2.55471)"
169,1946662277,,"(56.543,-3.4144099999999997)"
170,1559536376,ASH,"(51.80366,-0.0050100000000000006)"
171,1559581075,OUSE,"(50.986509999999996,0.02957)"
172,2529505311,,"(51.50375,-2.62811)"
173,1513743340,Loch Lomond: Ross Priory,"(56.032740000000004,-4.48916)"
174,1887254617,Worthenbury,"(53.002109999999995,-2.84823)"
175,1946678687,,"(53.781484999999996,-1.444499)"
176,1559709034,AT BLACKWALL BRIDGE PUMPING STATION,"(51.00207,0.6845100000000001)"
177,1538282156,,"(53.988519999999994,-2.7793)"
178,1517706283,Bearsden Windyhill,"(55.931869999999996,-4.3626)"
179,1559537098,U/S TORRINGTON MTR SITE,"(50.94911,-4.1588199999999995)"
180,1946664365,,"(53.521995999999994,-1.148315)"
181,1515770266,Quadrant NO32NW,"(56.45309,-3.06428)"
182,1885059372,Afon Gronwr; South of Llanboidy,"(51.87392,-4.58785)"
183,1555503247,,"(57.24648000000001,-2.65619)"
184,1537978090,,"(53.55713000000001,-2.7713400000000004)"
185,1516028729,Craiglockhart Dell,"(55.91895,-3.2536099999999997)"
186,1537051602,,"(53.68969,-2.25133)"
187,1559522966,FOX'S BRIDGE COMBERTON,"(52.17457,0.02179)"
188,1537497035,,"(53.70315,-2.2589900000000003)"
189,1561923660,Mockerkin Tarn,"(54.59249000000001,-3.41992)"
190,1559631888,ANGLEZARKE PHYTOPLANKTON SITE,"(53.63598,-2.5754200000000003)"
191,1559716756,SITE 10,"(50.94127,0.74649)"
192,1946663267,,"(53.721109,-1.4180760000000001)"
193,1885673558,,"(51.55887,-3.0832599999999997)"
194,1511729437,,"(53.359030000000004,-1.17506)"
195,1946665347,,"(55.39253000000001,-1.6024399999999999)"
196,1559620971,WITHERN,"(53.32248000000001,0.13871)"
197,1946663230,,"(51.666257,-1.8836240000000002)"
198,1888346864,,"(52.53524,-3.26068)"
199,1550930414,,"(51.46756,-3.22507)"
200,1517031923,Maidens,"(55.34307,-4.7927)"
201,1559509280,LOUGHOR,"(51.728120000000004,-4.0466)"
202,1559606090,TYNE,"(54.95486,-1.9133099999999998)"
203,1559549650,BOLLIN,"(53.3253,-2.20339)"
204,2534540246,Penbont side,"(51.999359999999996,-4.67379)"
205,1886493267,"River Severn at the English Bridge, Shrewsbury","(52.70645,-2.74811)"
206,1559526197,AT OGMORE CRESCENT,"(51.6056,-3.03745)"
207,1537249595,,"(54.15047,-2.7517099999999997)"
208,1946677847,,"(53.587709999999994,-2.42197)"
209,1946550930,,"(55.778130000000004,-4.0169)"
210,1518889456,,"(51.91845,-3.0919)"
211,1537828349,,"(54.023830000000004,-2.87154)"
212,2534529568,Pont Baldwyn needs verfic,"(52.01652,-4.76353)"
213,2536876344,,"(52.15,-3.5777699999999997)"
214,1519123479,,"(51.828559999999996,-3.0897200000000002)"
215,1559520103,BATCHPOOL (11**),"(51.03136,-2.38997)"
216,1559681409,BELGRAVE,"(52.66145,-1.1135899999999999)"
217,1946671774,,"(53.61085,-2.39226)"
218,1537064216,,"(53.79274,-2.67775)"
219,1551392247,,"(53.08936,-2.82268)"
220,1562442969,"Uddens Water,Station Road","(50.81704000000001,-1.8842599999999998)"
221,1946677205,,"(51.742662,-2.2947450000000003)"
222,1514701385,,"(52.33675,-2.28028)"
223,1537064550,,"(53.748169999999995,-2.39498)"
224,1559720110,BUGBROOKE MILL MTR SITE,"(52.227270000000004,-1.0065899999999999)"
225,1559718569,WHITEADDER,"(55.770759999999996,-2.08206)"
226,1946664827,,"(53.6135,-2.42258)"
227,1559716072,100M U/S BECKFORD BRIDGE,"(50.80883,-3.04382)"
228,1559583577,BRIDGE BETWEEN MILLS,"(52.33254,0.32988)"
229,1515957584,VC81 Berwickshire,"(55.69843,-2.08111)"
230,1559550341,GREAT BOWDEN ROAD BRIDGE,"(52.48791,-0.89617)"
231,1559518470,GREATHILL BECK,"(54.903859999999995,-3.02224)"
232,1946667817,,"(53.408005,-1.508366)"
233,1885058026,Gelli Aur,"(51.85948,-4.04239)"
234,1946663762,,"(53.305941000000004,-3.4774769999999995)"
235,1559538759,CADNEY MTR SITE,"(53.5128,-0.49118999999999996)"
236,1512105505,,"(53.44985,-1.32388)"
237,1559642536,SWANS POOL,"(52.291000000000004,-0.71633)"
238,1538281658,,"(53.77338,-2.68427)"
239,1559537787,U/S OF HORWICH MTR SITE,"(53.60011,-2.55982)"
240,1558974434,,"(52.17189000000001,-0.00539)"
241,1885062045,Allt-y-Wern SSSI,"(51.87448,-4.05905)"
242,2534541422,SN0908 Reynalton 1km sq,"(51.74273,-4.7607)"
243,1946660863,,"(53.60892,-2.4039599999999997)"
244,1946669681,,"(53.58784,-2.41986)"
245,1551449155,,"(53.36166,-2.22686)"
246,1559530199,WATERMEAD COUNTRY MTR SITE,"(52.68566,-1.10422)"
247,1549815195,,"(51.67881,-3.18665)"
248,1559606133,MOORHAYES FARM,"(50.8675,-3.37056)"
249,1559596632,ORMESBY LITTLE BROAD WFD MACROPHYTE SITE,"(52.66826,1.63762)"
250,1559512856,MID MEDWAY,"(51.22368,0.24049)"
251,1559627426,ACRESFORD,"(52.71429000000001,-1.5595700000000001)"
252,1559696231,COLTISHALL BRIDGE MACROPHYTE SURVEY SITE,"(52.72971,1.35384)"
253,1542958033,6 COLN,"(51.68804,-1.70557)"
254,1946667998,,"(51.659017999999996,-1.883507)"
255,1885183438,,"(51.63322,-3.73894)"
256,1559662310,RAVENSCROFT BRIDGE,"(53.20149,-2.44532)"
257,1559703557,ASH,"(51.854440000000004,0.0742)"
258,1561920932,,"(54.66789,-3.42875)"
259,1889426576,"Llyn Glasfryn SSSI, 1989","(52.95288000000001,-4.37938)"
260,1551758399,,"(53.27081999999999,-2.5262700000000002)"
261,1514974116,"St Cyrus, marsh nr waterfall","(56.77551,-2.3935)"
262,1537055839,,"(53.76003000000001,-2.6613)"
263,1559704979,TAME,"(53.43864,-2.13921)"
264,1559545543,BRETT,"(51.99745,0.9563799999999999)"
265,1559700229,250M D/S PENRITH STW OUTFALL,"(54.65815,-2.6936299999999997)"
266,1551231447,,"(51.64574,-3.3744)"
267,1514411640,River Stour,"(52.3548,-2.25103)"
268,1946666711,,"(57.17221,-2.10648)"
269,1561928178,,"(54.59451,-3.32093)"
270,1700810340,,"(53.47135,-3.00556)"
271,1537054726,,"(53.83331,-2.32817)"
272,2534163355,NX0888982405,"(55.09913,-4.99695)"
273,1559671879,BOLTON BRIDGE,"(53.971669999999996,-1.8909599999999998)"
274,1537852871,,"(53.60975,-2.95368)"
275,1887257446,Dolydd Lleniog (O01),"(53.292069999999995,-4.07859)"
276,1559594653,CREEDY,"(50.76701,-3.56615)"
277,1885062967,Edwinsford TN1511,"(51.99337,-3.99305)"
278,1946660619,,"(54.71649100000001,-3.4447379999999996)"
279,1537052595,,"(53.714259999999996,-2.79695)"
280,1559593896,B1090 ROAD BRIDGE,"(51.75007,0.65765)"
281,1514075390,,"(52.31909,-2.04543)"
282,1537064862,,"(53.83327,-2.3433599999999997)"
283,2538511540,"River Avon, south bank","(51.42671,-2.503)"
284,1537188272,,"(53.88123,-2.68603)"
285,1513670267,"Cove, tiny triangle SE of Woodleigh wood","(56.00212,-4.86415)"
286,1885062978,,"(51.669059999999995,-4.93503)"
287,1551777795,,"(53.0903,-2.67338)"
288,1946669264,,"(53.5877,-2.39879)"
289,1559571950,NENE,"(52.36753,-0.5687)"
290,1946664379,,"(53.395480000000006,-1.34794)"
291,1538046235,,"(53.55693,-2.80153)"
292,1888345645,,"(52.585069999999995,-3.1903200000000003)"
293,1537101395,,"(53.72048,-2.47125)"
294,1561928330,"Mill Beck, River Derwent","(54.62215,-3.1684900000000003)"
295,1519136150,,"(52.278009999999995,-3.10072)"
296,1559658471,D/S SKETCHLEY BROOK MTR SITE,"(52.51686,-1.42892)"
297,1888351402,,"(52.1174,-3.5468900000000003)"
298,1559556528,DULESGATE WATER,"(53.70473000000001,-2.11282)"
299,1559687771,ALCESTER,"(52.21699,-1.86749)"
300,1559735189,BOTTISHAM LOCK,"(52.26835,0.20779)"
301,1927560815,,"(52.63754,-3.1097200000000003)"
302,1551395516,,"(53.27081999999999,-2.5262700000000002)"
303,1543026910,3 Axe,"(50.814029999999995,-2.96161)"
304,1562699442,,"(50.73637,-1.76046)"
305,1885062674,Llanbydder TN1337,"(52.07287,-4.1609)"
306,1946662936,,"(53.396238000000004,-1.513541)"
